ghg,GWP,Units
CO2,3.666667,MTC
CH4,25,Tg
CH4_AGR,25,Tg
CH4_AWB,25,Tg
N2O,298,Tg
N2O_AGR,298,Tg
N2O_AWB,298,Tg
C2F6,12.2,Gg
CF4,7.39,Gg
HFC125,3.5,Gg
HFC134a,1.43,Gg
HFC245fa,1.03,Gg
SF6,22.8,Gg
HFC143a,4.47,Gg
HFC152a,0.124,Gg
HFC227ea,3.22,Gg
HFC23,14.8,Gg
HFC236fa,9.81,Gg
HFC32,0.675,Gg
HFC365mfc,0.794,Gg
