service,mode,submode,2010,2015,2020,2025,2030,2035,2040,2045,2050,Units
Passenger,Road,2W,0.022,0.014,0.011,0.011,0.01,0.01,0.01,0.01,0.01,g/km
Passenger,Road,3W,0.043,0.044,0.044,0.045,0.046,0.047,0.047,0.047,0.048,g/km
Passenger,Road,4W,0.063,0.042,0.03,0.026,0.026,0.028,0.029,0.029,0.029,g/km
Passenger,Road,Bus,0.293,0.16,0.109,0.093,0.088,0.087,0.086,0.086,0.086,g/km
Freight,Road,LHDT,0.132,0.084,0.06,0.052,0.049,0.049,0.048,0.048,0.048,g/km
Freight,Road,MHDT,0.156,0.092,0.063,0.053,0.05,0.049,0.049,0.049,0.049,g/km
Freight,Road,HHDT,0.347,0.203,0.149,0.132,0.127,0.125,0.125,0.124,0.124,g/km
