ghg,gas_type
BC,Non-GHG
BC_AWB,Non-GHG
C2F6,F-Gas
CF4,F-Gas
CH4,CH4
CH4_AGR,CH4
CH4_AWB,CH4
CO,Non-GHG
CO2,CO2
CO_AWB,Non-GHG
HFC125,F-Gas
HFC134a,F-Gas
HFC143a,F-Gas
HFC152a,F-Gas
HFC227ea,F-Gas
HFC23,F-Gas
HFC236fa,F-Gas
HFC245fa,F-Gas
HFC32,F-Gas
HFC365mfc,F-Gas
HFC43,F-Gas
N2O,N2O
N2O_AGR,N2O
N2O_AWB,N2O
NH3,Non-GHG
NH3_AGR,Non-GHG
NH3_AWB,Non-GHG
NMVOC,Non-GHG
NMVOC_AWB,Non-GHG
NOx,Non-GHG
NOx_AGR,Non-GHG
NOx_AWB,Non-GHG
OC,Non-GHG
OC_AWB,Non-GHG
SF6,F-Gas
SO2_1,Non-GHG
SO2_1_AWB,Non-GHG
SO2_2,Non-GHG
SO2_2_AWB,Non-GHG
SO2_3,Non-GHG
SO2_3_AWB,Non-GHG
SO2_4,Non-GHG
SO2_4_AWB,Non-GHG
