UCD_region,subsector,region
Western Europe,Van,Central America and Caribbean
China,Three-Wheeler,Central Asia
China,Mini Car,Central Asia
Latin America,Mini Car,EU-15
Southeast Asia,Moped,China
Southeast Asia,Scooter,China
Southeast Asia,Multipurpose Vehicle,China
Former Soviet Union,Midsize Car,EU-12
China,Large Car and SUV,Southeast Asia
