region,technology,capacity.factor
USA,gas (CC),0.85
USA,gas (CC CCS),0.8
USA,refined liquids (steam/CT),0.8
USA,refined liquids (CC),0.85
USA,refined liquids (CC CCS),0.8
USA,biomass (conv),0.85
USA,biomass (conv CCS),0.8
USA,biomass (IGCC),0.8
USA,biomass (IGCC CCS),0.8
USA,Gen_II_LWR,0.9
USA,Gen_III,0.9
USA,geothermal,0.9
