region,technology,capacity.factor
Africa_Southern,CSP_storage,0.618126716
Africa_Southern,PV,0.275527985
Africa_Southern,PV_storage,0.275527985
Africa_Southern,coal (conv pul),0.85
Africa_Southern,coal (conv pul CCS),0.8
Africa_Southern,coal (IGCC),0.8
Africa_Southern,coal (IGCC CCS),0.8
Africa_Southern,gas (steam/CT),0.8
Africa_Southern,gas (CC),0.85
Africa_Southern,gas (CC CCS),0.8
Africa_Southern,refined liquids (steam/CT),0.8
Africa_Southern,refined liquids (CC),0.85
Africa_Southern,refined liquids (CC CCS),0.8
Africa_Southern,biomass (conv),0.85
Africa_Southern,biomass (conv CCS),0.8
Africa_Southern,biomass (IGCC),0.8
Africa_Southern,biomass (IGCC CCS),0.8
Africa_Southern,Gen_II_LWR,0.9
Africa_Southern,Gen_III,0.9
Africa_Southern,geothermal,0.9
Africa_Western,wind,0.35
Africa_Western,wind_storage,0.35
Africa_Western,rooftop_pv,0.273630238
Africa_Western,CSP,0.24341196
Africa_Western,CSP_storage,0.632871097
Africa_Western,PV,0.273630238
Africa_Western,PV_storage,0.273630238
Africa_Western,coal (conv pul),0.85
Africa_Western,coal (conv pul CCS),0.8
Africa_Western,coal (IGCC),0.8
Africa_Western,coal (IGCC CCS),0.8
Africa_Western,gas (steam/CT),0.8
Africa_Western,gas (CC),0.85
Africa_Western,gas (CC CCS),0.8
Africa_Western,refined liquids (steam/CT),0.8
Africa_Western,refined liquids (CC),0.85
Africa_Western,refined liquids (CC CCS),0.8
Africa_Western,biomass (conv),0.85
Africa_Western,biomass (conv CCS),0.8
Africa_Western,biomass (IGCC),0.8
Africa_Western,biomass (IGCC CCS),0.8
Africa_Western,Gen_II_LWR,0.9
Africa_Western,Gen_III,0.9
Africa_Western,geothermal,0.9
Argentina,wind,0.37
Argentina,wind_storage,0.37
Argentina,rooftop_pv,0.232851932
Argentina,CSP,0.236884857
Argentina,CSP_storage,0.615900628
Argentina,PV,0.232851932
Argentina,PV_storage,0.232851932
Argentina,coal (conv pul),0.85
Argentina,coal (conv pul CCS),0.8
Argentina,coal (IGCC),0.8
Argentina,coal (IGCC CCS),0.8
Argentina,gas (steam/CT),0.8
Argentina,gas (CC),0.85
Argentina,gas (CC CCS),0.8
Argentina,refined liquids (steam/CT),0.8
Argentina,refined liquids (CC),0.85
Argentina,refined liquids (CC CCS),0.8
Argentina,biomass (conv),0.85
Argentina,biomass (conv CCS),0.8
Argentina,biomass (IGCC),0.8
Argentina,biomass (IGCC CCS),0.8
Argentina,Gen_II_LWR,0.9
Argentina,Gen_III,0.9
Argentina,geothermal,0.9
Australia_NZ,wind,0.39
Australia_NZ,wind_storage,0.39
Australia_NZ,rooftop_pv,0.272521652
Australia_NZ,CSP,0.231893253
Australia_NZ,CSP_storage,0.602922459
Australia_NZ,PV,0.272521652
Australia_NZ,PV_storage,0.272521652
Australia_NZ,coal (conv pul),0.85
Australia_NZ,coal (conv pul CCS),0.8
Australia_NZ,coal (IGCC),0.8
Australia_NZ,coal (IGCC CCS),0.8
Australia_NZ,gas (steam/CT),0.8
Australia_NZ,gas (CC),0.85
Australia_NZ,gas (CC CCS),0.8
Australia_NZ,refined liquids (steam/CT),0.8
Australia_NZ,refined liquids (CC),0.85
Australia_NZ,refined liquids (CC CCS),0.8
Australia_NZ,biomass (conv),0.85
Australia_NZ,biomass (conv CCS),0.8
Australia_NZ,biomass (IGCC),0.8
Australia_NZ,biomass (IGCC CCS),0.8
Australia_NZ,Gen_II_LWR,0.9
Australia_NZ,Gen_III,0.9
Australia_NZ,geothermal,0.9
Brazil,wind,0.35
Brazil,wind_storage,0.35
Brazil,rooftop_pv,0.246714494
Brazil,CSP,0.305748844
Brazil,CSP_storage,0.794946994
Brazil,PV,0.246714494
Brazil,PV_storage,0.246714494
Brazil,coal (conv pul),0.85
Brazil,coal (conv pul CCS),0.8
Brazil,coal (IGCC),0.8
Brazil,coal (IGCC CCS),0.8
Brazil,gas (steam/CT),0.8
