sector,subsector,end_use
Beef,Mixed,Agriculture
Beef,Pastoral,Agriculture
biomass,biomassAEZ01,Agriculture
biomass,biomassAEZ02,Agriculture
biomass,biomassAEZ03,Agriculture
biomass,biomassAEZ04,Agriculture
biomass,biomassAEZ05,Agriculture
biomass,biomassAEZ06,Agriculture
biomass,biomassAEZ07,Agriculture
biomass,biomassAEZ08,Agriculture
biomass,biomassAEZ09,Agriculture
biomass,biomassAEZ10,Agriculture
biomass,biomassAEZ11,Agriculture
biomass,biomassAEZ12,Agriculture
Corn,CornAEZ01,Agriculture
Corn,CornAEZ02,Agriculture
Corn,CornAEZ03,Agriculture
Corn,CornAEZ04,Agriculture
Corn,CornAEZ05,Agriculture
Corn,CornAEZ06,Agriculture
Corn,CornAEZ07,Agriculture
Corn,CornAEZ08,Agriculture
Corn,CornAEZ09,Agriculture
Corn,CornAEZ10,Agriculture
Corn,CornAEZ11,Agriculture
Corn,CornAEZ12,Agriculture
Dairy,Mixed,Agriculture
Dairy,Pastoral,Agriculture
FiberCrop,FiberCropAEZ01,Agriculture
FiberCrop,FiberCropAEZ02,Agriculture
FiberCrop,FiberCropAEZ03,Agriculture
FiberCrop,FiberCropAEZ04,Agriculture
FiberCrop,FiberCropAEZ05,Agriculture
FiberCrop,FiberCropAEZ06,Agriculture
FiberCrop,FiberCropAEZ07,Agriculture
FiberCrop,FiberCropAEZ08,Agriculture
FiberCrop,FiberCropAEZ09,Agriculture
FiberCrop,FiberCropAEZ10,Agriculture
FiberCrop,FiberCropAEZ11,Agriculture
FiberCrop,FiberCropAEZ12,Agriculture
FodderGrass,FodderGrassAEZ01,Agriculture
FodderGrass,FodderGrassAEZ02,Agriculture
FodderGrass,FodderGrassAEZ03,Agriculture
FodderGrass,FodderGrassAEZ04,Agriculture
FodderGrass,FodderGrassAEZ05,Agriculture
FodderGrass,FodderGrassAEZ07,Agriculture
FodderGrass,FodderGrassAEZ08,Agriculture
FodderHerb,FodderHerbAEZ01,Agriculture
FodderHerb,FodderHerbAEZ02,Agriculture
FodderHerb,FodderHerbAEZ03,Agriculture
FodderHerb,FodderHerbAEZ04,Agriculture
FodderHerb,FodderHerbAEZ05,Agriculture
FodderHerb,FodderHerbAEZ06,Agriculture
FodderHerb,FodderHerbAEZ08,Agriculture
FodderHerb,FodderHerbAEZ09,Agriculture
FodderHerb,FodderHerbAEZ10,Agriculture
FodderHerb,FodderHerbAEZ11,Agriculture
FodderHerb,FodderHerbAEZ12,Agriculture
MiscCrop,MiscCropAEZ01,Agriculture
MiscCrop,MiscCropAEZ02,Agriculture
MiscCrop,MiscCropAEZ03,Agriculture
MiscCrop,MiscCropAEZ04,Agriculture
MiscCrop,MiscCropAEZ05,Agriculture
MiscCrop,MiscCropAEZ06,Agriculture
MiscCrop,MiscCropAEZ07,Agriculture
MiscCrop,MiscCropAEZ08,Agriculture
MiscCrop,MiscCropAEZ09,Agriculture
MiscCrop,MiscCropAEZ10,Agriculture
MiscCrop,MiscCropAEZ11,Agriculture
MiscCrop,MiscCropAEZ12,Agriculture
OilCrop,OilCropAEZ01,Agriculture
OilCrop,OilCropAEZ02,Agriculture
OilCrop,OilCropAEZ03,Agriculture
OilCrop,OilCropAEZ04,Agriculture
OilCrop,OilCropAEZ05,Agriculture
OilCrop,OilCropAEZ06,Agriculture
OilCrop,OilCropAEZ07,Agriculture
OilCrop,OilCropAEZ08,Agriculture
OilCrop,OilCropAEZ09,Agriculture
OilCrop,OilCropAEZ10,Agriculture
OilCrop,OilCropAEZ11,Agriculture
OilCrop,OilCropAEZ12,Agriculture
OtherGrain,OtherGrainAEZ01,Agriculture
OtherGrain,OtherGrainAEZ02,Agriculture
OtherGrain,OtherGrainAEZ03,Agriculture
OtherGrain,OtherGrainAEZ04,Agriculture
OtherGrain,OtherGrainAEZ05,Agriculture
OtherGrain,OtherGrainAEZ06,Agriculture
OtherGrain,OtherGrainAEZ08,Agriculture
OtherGrain,OtherGrainAEZ09,Agriculture
OtherGrain,OtherGrainAEZ10,Agriculture
OtherGrain,OtherGrainAEZ11,Agriculture
OtherGrain,OtherGrainAEZ12,Agriculture
PalmFruit,PalmFruitAEZ01,Agriculture
PalmFruit,PalmFruitAEZ02,Agriculture
PalmFruit,PalmFruitAEZ03,Agriculture
PalmFruit,PalmFruitAEZ04,Agriculture
PalmFruit,PalmFruitAEZ05,Agriculture
PalmFruit,PalmFruitAEZ06,Agriculture
Pork,Mixed,Agriculture
Poultry,Mixed,Agriculture
Rice,RiceAEZ01,Agriculture
Rice,RiceAEZ02,Agriculture
Rice,RiceAEZ03,Agriculture
Rice,RiceAEZ04,Agriculture
Rice,RiceAEZ05,Agriculture
Rice,RiceAEZ06,Agriculture
Rice,RiceAEZ10,Agriculture
Rice,RiceAEZ11,Agriculture
Root_Tuber,Root_TuberAEZ01,Agriculture
Root_Tuber,Root_TuberAEZ02,Agriculture
Root_Tuber,Root_TuberAEZ03,Agriculture
Root_Tuber,Root_TuberAEZ04,Agriculture
Root_Tuber,Root_TuberAEZ05,Agriculture
Root_Tuber,Root_TuberAEZ06,Agriculture
Root_Tuber,Root_TuberAEZ07,Agriculture
Root_Tuber,Root_TuberAEZ08,Agriculture
Root_Tuber,Root_TuberAEZ09,Agriculture
Root_Tuber,Root_TuberAEZ10,Agriculture
Root_Tuber,Root_TuberAEZ11,Agriculture
Root_Tuber,Root_TuberAEZ12,Agriculture
SheepGoat,Mixed,Agriculture
SheepGoat,Pastoral,Agriculture
SugarCrop,SugarCropAEZ01,Agriculture
SugarCrop,SugarCropAEZ02,Agriculture
SugarCrop,SugarCropAEZ03,Agriculture
SugarCrop,SugarCropAEZ04,Agriculture
SugarCrop,SugarCropAEZ05,Agriculture
SugarCrop,SugarCropAEZ06,Agriculture
SugarCrop,SugarCropAEZ07,Agriculture
SugarCrop,SugarCropAEZ08,Agriculture
SugarCrop,SugarCropAEZ09,Agriculture
SugarCrop,SugarCropAEZ10,Agriculture
SugarCrop,SugarCropAEZ11,Agriculture
SugarCrop,SugarCropAEZ12,Agriculture
UnmanagedLand,ForestFiresAEZ01,Agriculture
UnmanagedLand,ForestFiresAEZ02,Agriculture
UnmanagedLand,ForestFiresAEZ03,Agriculture
UnmanagedLand,ForestFiresAEZ04,Agriculture
UnmanagedLand,ForestFiresAEZ05,Agriculture
UnmanagedLand,ForestFiresAEZ06,Agriculture
UnmanagedLand,ForestFiresAEZ08,Agriculture
UnmanagedLand,ForestFiresAEZ09,Agriculture
UnmanagedLand,ForestFiresAEZ10,Agriculture
UnmanagedLand,ForestFiresAEZ11,Agriculture
UnmanagedLand,ForestFiresAEZ12,Agriculture
UnmanagedLand,GrasslandFiresAEZ01,Agriculture
UnmanagedLand,GrasslandFiresAEZ02,Agriculture
UnmanagedLand,GrasslandFiresAEZ03,Agriculture
UnmanagedLand,GrasslandFiresAEZ04,Agriculture
UnmanagedLand,GrasslandFiresAEZ05,Agriculture
UnmanagedLand,GrasslandFiresAEZ06,Agriculture
UnmanagedLand,GrasslandFiresAEZ07,Agriculture
UnmanagedLand,GrasslandFiresAEZ08,Agriculture
UnmanagedLand,GrasslandFiresAEZ09,Agriculture
UnmanagedLand,GrasslandFiresAEZ10,Agriculture
UnmanagedLand,GrasslandFiresAEZ11,Agriculture
UnmanagedLand,GrasslandFiresAEZ12,Agriculture
Wheat,WheatAEZ01,Agriculture
Wheat,WheatAEZ02,Agriculture
Wheat,WheatAEZ03,Agriculture
Wheat,WheatAEZ04,Agriculture
Wheat,WheatAEZ05,Agriculture
Wheat,WheatAEZ06,Agriculture
Wheat,WheatAEZ08,Agriculture
Wheat,WheatAEZ09,Agriculture
Wheat,WheatAEZ10,Agriculture
Wheat,WheatAEZ11,Agriculture
Wheat,WheatAEZ12,Agriculture
FodderGrass,FodderGrassAEZ09,Agriculture
FodderGrass,FodderGrassAEZ10,Agriculture
FodderHerb,FodderHerbAEZ07,Agriculture
OtherGrain,OtherGrainAEZ07,Agriculture
Rice,RiceAEZ07,Agriculture
Rice,RiceAEZ09,Agriculture
Wheat,WheatAEZ07,Agriculture
biomass,eucalyptusAEZ08,Agriculture
biomass,eucalyptusAEZ09,Agriculture
biomass,eucalyptusAEZ10,Agriculture
biomass,eucalyptusAEZ11,Agriculture
