region,service,mode,submode,subsector,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
Africa_Southern,Passenger,Road,4W,Compact Car,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
Africa_Western,Passenger,Road,4W,Compact Car,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
South Africa,Passenger,Road,4W,Compact Car,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
Africa_Eastern,Passenger,Road,4W,Mini Car,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
Africa_Northern,Passenger,Road,4W,Mini Car,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
Africa_Southern,Passenger,Road,4W,Mini Car,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
Africa_Western,Passenger,Road,4W,Mini Car,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
South Africa,Passenger,Road,4W,Mini Car,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
Africa_Eastern,Passenger,Road,4W,Multipurpose Vehicle,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
Africa_Northern,Passenger,Road,4W,Multipurpose Vehicle,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
Africa_Southern,Passenger,Road,4W,Multipurpose Vehicle,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
Africa_Western,Passenger,Road,4W,Multipurpose Vehicle,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
South Africa,Passenger,Road,4W,Multipurpose Vehicle,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
Africa_Eastern,Passenger,Road,4W,Subcompact Car,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
Africa_Northern,Passenger,Road,4W,Subcompact Car,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
Africa_Southern,Passenger,Road,4W,Subcompact Car,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
Africa_Western,Passenger,Road,4W,Subcompact Car,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
South Africa,Passenger,Road,4W,Subcompact Car,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
Australia_NZ,Passenger,Road,2W,Motorcycle (>250cc),3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,vkt/veh/yr
Australia_NZ,Passenger,Road,4W,Compact Car,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,vkt/veh/yr
Australia_NZ,Passenger,Road,4W,Large Car,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,vkt/veh/yr
Australia_NZ,Passenger,Road,4W,Light Truck and SUV,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,vkt/veh/yr
Australia_NZ,Passenger,Road,4W,Midsize Car,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,vkt/veh/yr
Brazil,Passenger,Road,2W,Moped,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,6793.775974,vkt/veh/yr
Brazil,Passenger,Road,2W,Motorcycle (>250cc),9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,vkt/veh/yr
Brazil,Passenger,Road,2W,Motorcycle (50-250cc),9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,9058.367965,vkt/veh/yr
Brazil,Passenger,Road,4W,Compact Car,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,vkt/veh/yr
Brazil,Passenger,Road,4W,Large Car and SUV,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,34089.58789,vkt/veh/yr
Brazil,Passenger,Road,4W,Mini Car,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,vkt/veh/yr
Brazil,Passenger,Road,4W,Subcompact Car,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,15213.76028,vkt/veh/yr
Canada,Passenger,Road,2W,Motorcycle (>250cc),4e3,4e3,4e3,4e3,4e3,4e3,4e3,4e3,4e3,4e3,4e3,4e3,4e3,4e3,4e3,4e3,4e3,4e3,4e3,4e3,4e3,4e3,4e3,4e3,4e3,4e3,vkt/veh/yr
Canada,Passenger,Road,4W,Light Truck and SUV,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,vkt/veh/yr
Canada,Passenger,Road,4W,Midsize Car,14638,14638,14638,14638,14638,14638,14638,14638,14638,14638,14638,14638,14638,14638,14638,14638,14638,14638,14638,14638,14638,14638,14638,14638,14638,14638,vkt/veh/yr
Canada,Passenger,Road,4W,Van,16800,16800,16800,16800,16800,16800,16800,16800,16800,16800,16800,16800,16800,16800,16800,16800,16800,16800,16800,16800,16800,16800,16800,16800,16800,16800,vkt/veh/yr
China,Passenger,Road,2W,Motorcycle (50-250cc),9145,9145,9145,9145,9145,9145,9145,9145,9145,9145,9145,9145,9145,9145,9145,9145,9145,9145,9145,9145,9145,9145,9145,9145,9145,9145,vkt/veh/yr
Central Asia,Passenger,Road,3W,Three-Wheeler,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,vkt/veh/yr
China,Passenger,Road,3W,Three-Wheeler,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,vkt/veh/yr
China,Passenger,Road,4W,Compact Car,19486,19486,19486,19486,19486,19486,19486,19486,19486,19486,19486,19486,19486,19486,19486,19486,19486,19486,19486,19486,19486,19486,19486,19486,19486,19486,vkt/veh/yr
China,Passenger,Road,4W,Large Car and SUV,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,vkt/veh/yr
Southeast Asia,Passenger,Road,4W,Large Car and SUV,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,19650,vkt/veh/yr
Central Asia,Passenger,Road,4W,Mini Car,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,vkt/veh/yr
China,Passenger,Road,4W,Mini Car,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,21932,vkt/veh/yr
China,Passenger,Road,4W,Subcompact Car,21632,21632,21632,21632,21632,21632,21632,21632,21632,21632,21632,21632,21632,21632,21632,21632,21632,21632,21632,21632,21632,21632,21632,21632,21632,21632,vkt/veh/yr
EU-12,Passenger,Road,2W,Moped,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,vkt/veh/yr
Europe_Non_EU,Passenger,Road,2W,Moped,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,vkt/veh/yr
EU-12,Passenger,Road,2W,Motorcycle (>250cc),9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,vkt/veh/yr
Europe_Non_EU,Passenger,Road,2W,Motorcycle (>250cc),9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,vkt/veh/yr
EU-12,Passenger,Road,2W,Motorcycle (50-250cc),9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,vkt/veh/yr
Europe_Non_EU,Passenger,Road,2W,Motorcycle (50-250cc),9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,9690,vkt/veh/yr
EU-12,Passenger,Road,4W,Compact Car,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,vkt/veh/yr
Europe_Non_EU,Passenger,Road,4W,Compact Car,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,vkt/veh/yr
EU-12,Passenger,Road,4W,Large Car and SUV,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,vkt/veh/yr
Europe_Non_EU,Passenger,Road,4W,Large Car and SUV,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,vkt/veh/yr
EU-12,Passenger,Road,4W,Subcompact Car,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,vkt/veh/yr
Europe_Non_EU,Passenger,Road,4W,Subcompact Car,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,vkt/veh/yr
EU-12,Passenger,Road,4W,Van,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,vkt/veh/yr
Europe_Non_EU,Passenger,Road,4W,Van,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,8962,vkt/veh/yr
Central Asia,Passenger,Road,2W,Moped,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,vkt/veh/yr
Europe_Eastern,Passenger,Road,2W,Moped,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,vkt/veh/yr
Russia,Passenger,Road,2W,Moped,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,vkt/veh/yr
Central Asia,Passenger,Road,2W,Motorcycle (>250cc),7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,vkt/veh/yr
Europe_Eastern,Passenger,Road,2W,Motorcycle (>250cc),7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,vkt/veh/yr
Russia,Passenger,Road,2W,Motorcycle (>250cc),7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,vkt/veh/yr
Central Asia,Passenger,Road,2W,Motorcycle (50-250cc),7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,vkt/veh/yr
Europe_Eastern,Passenger,Road,2W,Motorcycle (50-250cc),7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,vkt/veh/yr
Russia,Passenger,Road,2W,Motorcycle (50-250cc),7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,vkt/veh/yr
Central Asia,Passenger,Road,4W,Compact Car,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,vkt/veh/yr
Europe_Eastern,Passenger,Road,4W,Compact Car,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,vkt/veh/yr
Russia,Passenger,Road,4W,Compact Car,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,vkt/veh/yr
Central Asia,Passenger,Road,4W,Large Car and SUV,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,vkt/veh/yr
Europe_Eastern,Passenger,Road,4W,Large Car and SUV,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,vkt/veh/yr
Russia,Passenger,Road,4W,Large Car and SUV,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,vkt/veh/yr
Central Asia,Passenger,Road,4W,Midsize Car,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,vkt/veh/yr
EU-12,Passenger,Road,4W,Midsize Car,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,vkt/veh/yr
Europe_Eastern,Passenger,Road,4W,Midsize Car,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,vkt/veh/yr
Russia,Passenger,Road,4W,Midsize Car,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,vkt/veh/yr
Central Asia,Passenger,Road,4W,Subcompact Car,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,vkt/veh/yr
Europe_Eastern,Passenger,Road,4W,Subcompact Car,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,vkt/veh/yr
Russia,Passenger,Road,4W,Subcompact Car,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,11482,vkt/veh/yr
India,Passenger,Road,2W,Moped,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,vkt/veh/yr
India,Passenger,Road,2W,Motorcycle (50-250cc),8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,vkt/veh/yr
India,Passenger,Road,2W,Scooter,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,vkt/veh/yr
India,Passenger,Road,3W,Three-Wheeler,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,vkt/veh/yr
India,Passenger,Road,4W,Compact Car,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,vkt/veh/yr
India,Passenger,Road,4W,Mini Car,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
India,Passenger,Road,4W,Multipurpose Vehicle,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466,vkt/veh/yr
India,Passenger,Road,4W,Subcompact Car,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392,vkt/veh/yr
Japan,Passenger,Road,2W,Moped,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,vkt/veh/yr
Japan,Passenger,Road,2W,Motorcycle (>250cc),3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,vkt/veh/yr
Japan,Passenger,Road,2W,Motorcycle (50-250cc),3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,vkt/veh/yr
Japan,Passenger,Road,4W,Compact Car,10925,10925,10925,10925,10925,10925,10925,10925,10925,10925,10925,10925,10925,10925,10925,10925,10925,10925,10925,10925,10925,10925,10925,10925,10925,10925,vkt/veh/yr
Japan,Passenger,Road,4W,Large Car and SUV,8710,8710,8710,8710,8710,8710,8710,8710,8710,8710,8710,8710,8710,8710,8710,8710,8710,8710,8710,8710,8710,8710,8710,8710,8710,8710,vkt/veh/yr
Japan,Passenger,Road,4W,Mini Car,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,vkt/veh/yr
Japan,Passenger,Road,4W,Subcompact Car,9164,9164,9164,9164,9164,9164,9164,9164,9164,9164,9164,9164,9164,9164,9164,9164,9164,9164,9164,9164,9164,9164,9164,9164,9164,9164,vkt/veh/yr
South Korea,Passenger,Road,2W,Motorcycle (50-250cc),3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,vkt/veh/yr
South Korea,Passenger,Road,4W,Compact Car,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,vkt/veh/yr
South Korea,Passenger,Road,4W,Large Car,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,vkt/veh/yr
South Korea,Passenger,Road,4W,Light Truck and SUV,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,vkt/veh/yr
South Korea,Passenger,Road,4W,Subcompact Car,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,vkt/veh/yr
Argentina,Passenger,Road,2W,Moped,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,vkt/veh/yr
Central America and Caribbean,Passenger,Road,2W,Moped,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,vkt/veh/yr
Colombia,Passenger,Road,2W,Moped,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,vkt/veh/yr
Mexico,Passenger,Road,2W,Moped,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,vkt/veh/yr
South America_Northern,Passenger,Road,2W,Moped,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,vkt/veh/yr
South America_Southern,Passenger,Road,2W,Moped,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,vkt/veh/yr
