region,service,mode,submode,subsector,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
Africa_Eastern,Passenger,Road,2W,Motorcycle (50-250cc),8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,vkt/veh/yr
Africa_Northern,Passenger,Road,2W,Motorcycle (50-250cc),8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,vkt/veh/yr
Africa_Southern,Passenger,Road,2W,Motorcycle (50-250cc),8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,vkt/veh/yr
Africa_Western,Passenger,Road,2W,Motorcycle (50-250cc),8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,vkt/veh/yr
South Africa,Passenger,Road,2W,Motorcycle (50-250cc),8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,vkt/veh/yr
Africa_Eastern,Passenger,Road,3W,Three-Wheeler,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,vkt/veh/yr
Africa_Northern,Passenger,Road,3W,Three-Wheeler,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,vkt/veh/yr
Africa_Southern,Passenger,Road,3W,Three-Wheeler,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,vkt/veh/yr
Africa_Western,Passenger,Road,3W,Three-Wheeler,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,vkt/veh/yr
South Africa,Passenger,Road,3W,Three-Wheeler,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,vkt/veh/yr
Africa_Eastern,Passenger,Road,4W,Compact Car,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
Africa_Northern,Passenger,Road,4W,Compact Car,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,vkt/veh/yr
